//Item Trading Restrictions File
//Specify here special rules for item trading.
//Item ID, TradeMask, GM-Level Override
//Trading mask values:
//1:Item can't be drop
//2:Item can't be traded (nor vended)
//4:Wedded partner can override restriction 2.
//8:Item can't be sold to npcs
//16:Item can't be placed in the cart
//32:Item can't be placed in the storage
//64:Item can't be placed in the guild storage
//Example:
//1161,67,50 //Balmung: No drop, No trade, No Guild Store (1+2+64 =67),
//only GMs of GM-level 50 and up can override the setting.

// Wedding Related items
2634,127,99	// Bridegroom_Ring
2635,127,99	// Bride_Ring

// "2005 The Sign" related items
7177,123,99	// Part_Of_Star's_Sob
7178,123,99	// Star's_Sob
7304,123,99	// Witch's_Spell_Book
7305,123,99	// Authority_Of_Nine_World
7306,123,99	// Fragment_Of_Soul
7307,123,99	// Whisper_Of_Soul
7308,123,99	// Witch's_Potion
7309,123,99	// Wing_Of_Crow
2642,123,99	// Serin's_Gold_Ring
2644,123,99	// The_Sign_
7314,123,99	// The_Sign
7025,91,99	// Lucifer's_Lament
7527,122,99	// Life_Book
12142,122,99	// Magic_Book

// "2nd Anniversary Event" items
// "Eye of Hellion" items
2647,123,99	// Nile_Rose
7332,123,99	// Slate
7333,123,99	// Piece_Of_Slate_1
7334,123,99	// Piece_Of_Slate_2
7335,123,99	// Piece_Of_Slate_3
7336,123,99	// Piece_Of_Slate_4
7339,123,99	// RO_Transportation_Card_
5132,91,99	// Angeling_Hat

// "Main Quest"/"Danilion's Request" items
7416,91,99	// Letter_Of_Recommendation
7417,91,99	// Mission_ScrollA
7418,91,99	// Mission_ScrollB

// PVP Item
//7420,115,99	// Skull_

// "10.3 Quest items"
// * "Gaebolg family Curse" items
7431,115,99	// Books
7432,115,99	// Leather_Pouch
// * "Thanatos Tower" items
7421,115,99	// Red_Key
7422,115,99	// Yellow_Key
7423,115,99	// Blue_Key
7424,115,99	// Green_Key
7425,115,99	// Black_Key
7426,115,99	// Red_Magic_Stone
7427,115,99	// Yellow_Magic_Stone
7428,115,99	// Blue_Magic_Stone
7429,115,99	// Green_Magic_Stone
7430,115,99	// Black_Magic_Stone

// Chinese New Year
7484,123,99	// Warrior_Symbol
7485,123,99	// 2nd_Floor_Pass
7486,123,99	// 3rd_Floor_Pass

// "Kiel Hyre's Cottage" Quest related items
7487,123,99	// Tavern_Wine
7488,123,99	// Delivery_Box
7489,123,99	// Villa_Spare_Key
7490,123,99	// Kyll_Hire_Letter
7491,123,99	// Iron_Box
7492,123,99	// Yellow_Key_Card
7493,123,99	// Golden_Key
7494,123,99	// Kiel_Button
7495,123,99	// Blue_Key_Card
7496,123,99	// Red_Key_Card
7497,123,99	// Steel_Piece
7498,123,99	// Rosimier_Key
7499,123,99	// Family_Portrait
7500,123,99	// Elysia_Portrait
7501,123,99	// Kyll_Hyre_Letter2
7502,123,99	// Pieco_Memo_Of_James
7503,123,99	// Man_Portrait
7504,123,99	// Toy_Motor
7505,123,99	// Toy_Key
7506,115,99	// Black_Key_Card
7508,123,99	// Elysia_Ring
7509,91,99	// Fancy_Key_Card
7516,115,99	// Green_Key_Card

// Hugel Race Track token
7515,115,99	// Marvelous_Medal

// Chinese ????? related items
7518,115,99	// Women's_Medal
2668,115,99	// Women's_Glory
7525,115,99	// Summer_Feast_Ticket
7341,123,99	// Worn_Out_Pendant

// Lighthalzen Quest items
// * Schwartzvalt Trilogy Quest items
7342,123,99	// File01
7343,123,99	// File02
7344,123,99	// File03
7346,123,99	// Pile_Of_Ymir_Heart
7349,123,99	// Indication_Of_Member02
// * Friendship Quest(?) Items
7351,123,99	// Friend's_Diary

// "2006 USA 3rd Anniversary" related items
7530,123,99	// Travel_Brochure_01
7531,123,99	// Travel_Brochure_02
7532,123,99	// Travel_Brochure_03
7533,123,99	// Travel_Brochure_04
7534,123,99	// Photo_Album_01
7535,123,99	// Photo_Album_02
7536,123,99	// Photo_Album_03
7537,123,99	// Photo_Album_04
5147,123,99	// Baseball_Cap

// Poring Coin items
7538,115,99	// Sifted_Sand
7539,115,99	// Poring_Coin

// Europe Tiara Event
5149,115,99	// Silver_Tiara
5179,115,99	// Golden_Tiara

// Brazillian Event items
7547,115,99	// Soccer_Ball
7548,115,99	// Soccer_Shoes
7549,115,99	// Braziianl_Flag
7550,115,99	// Ticket01
7551,115,99	// Ticket02
7552,115,99	// Ticket03

// Taiwan Besark's Day Event items
7553,115,99	// Lotus
7554,115,99	// Striped_Candle
7555,115,99	// Green_Incense

// Taiwan 'Pink Yearning' Event items
7556,91,99	// Longing_Heart
7557,91,99	// Invitation_Letter
7558,91,99	// Invitation_Ticket
7559,91,99	// Key_to_Secret_Garden
2670,91,99	// Ring_of_Longing
2358,91,99	// Angel_Dress

// India Father's Day Event items
5154,91,99	// Sunglasses_F
5155,91,99	// Granpa_Beard_F
5156,91,99	// Flu_Mask_F

// Indonesia Jewel Event items
7575,115,99	// Red-coloured_Gem
7576,115,99	// Blue-coloured_Gem
7577,115,99	// Yellow-coloured_Gem

// Rachel Quest items
// * Aruna First (Katullanux quest)
7572,91,99	// Gray_Necklace
7573,91,99	// Shiny_Necklace
7569,91,99	// Hammer_of_Wind

// Unknown
7275,123,99	// Ancient_Document
7276,123,99	// Picture_Letter

// 2006 Chinese Event items
7579,115,99	// Silk_Handkerchief_of_Zhi

// Unknown
// This item is currently commented out in eAthena.
//7580,115,99	// Black_Marble

// Taiwan 4th Anniversary Memorial items
7583,115,99	// Evil_Heart
7584,115,99	// Guard's_1st_Proof
7585,115,99	// Guard's_2nd_Proof
7586,115,99	// Guard's_3rd_Proof
7587,115,99	// Guard's_4th_Proof
2673,123,99	// Warrior_Radiating_Ring
1533,123,99	// Warrior's_Balmung
13020,123,99	// Warrior's_Balmung_

// Vietnam Event item
7588,115,99	// IPOD_Coupon

// 2006 Brazilian 2nd Anniversary items
7603,115,99	// RO_Party_Ticket
5201,115,99	// Party_Hat_B

// 2006 Indonesia Honor Ring item 
2674,123,99	// Ring_Of_Honor

// 2006 Korean Harvest Moon Day Event item
12199,123,99	// Rice_Scroll

// 2006 Indonesia Event
//These two items have not been implemented in eathena.
7614,115,99	// Wrapping_Paper
7618,115,99	// Monster_Crystal
2676,123,99	// Hunter_Earring

// Cash Shop Related Items
12900,73,99	// Field_Manual_Box
12901,73,99	// Life_Insurrance_Box
12902,73,99	// Bubble_Gum_Box
12903,73,99	// Steamed_Tongue_Box
12904,73,99	// Steamed_Desert_Scorpions_Box
12905,73,99	// Dragon_Breath_Cocktail_Box
12906,73,99	// Hwergelmir's_Tonic_Box
